"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","10:31:22"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
   18,2024/12/05,10:29:21,207.41E+00,10.937E+00,2.0329E+03,2.2684E+03,1.0066E+03,0.8962E+00,207.50E+00,10.605E+00,2.0048E+03,2.2005E+03,907.34E+00,0.9110E+00,207.35E+00,10.497E+00,1.9861E+03,2.1765E+03,890.31E+00,0.9125E+00,207.42E+00,10.680E+00,6.0237E+03,6.6455E+03,2.8042E+03,0.9064E+00
   19,2024/12/05,10:29:21,207.37E+00,10.934E+00,2.0318E+03,2.2674E+03,1.0063E+03,0.8961E+00,207.50E+00,10.610E+00,2.0049E+03,2.2017E+03,909.85E+00,0.9106E+00,207.38E+00,10.507E+00,1.9887E+03,2.1789E+03,890.33E+00,0.9127E+00,207.42E+00,10.684E+00,6.0254E+03,6.6480E+03,2.8065E+03,0.9064E+00
   20,2024/12/05,10:29:21,207.34E+00,10.925E+00,2.0303E+03,2.2652E+03,1.0045E+03,0.8963E+00,207.47E+00,10.610E+00,2.0044E+03,2.2013E+03,910.05E+00,0.9105E+00,207.35E+00,10.502E+00,1.9873E+03,2.1774E+03,889.91E+00,0.9127E+00,207.39E+00,10.679E+00,6.0220E+03,6.6439E+03,2.8045E+03,0.9064E+00
   21,2024/12/05,10:29:21,207.37E+00,10.923E+00,2.0313E+03,2.2651E+03,1.0022E+03,0.8968E+00,207.46E+00,10.617E+00,2.0047E+03,2.2027E+03,912.71E+00,0.9101E+00,207.37E+00,10.507E+00,1.9885E+03,2.1788E+03,890.59E+00,0.9126E+00,207.40E+00,10.682E+00,6.0245E+03,6.6466E+03,2.8055E+03,0.9064E+00
   22,2024/12/05,10:29:21,207.43E+00,10.929E+00,2.0330E+03,2.2671E+03,1.0033E+03,0.8967E+00,207.51E+00,10.607E+00,2.0044E+03,2.2011E+03,909.53E+00,0.9106E+00,207.42E+00,10.517E+00,1.9908E+03,2.1814E+03,891.78E+00,0.9126E+00,207.45E+00,10.684E+00,6.0281E+03,6.6496E+03,2.8046E+03,0.9065E+00
   23,2024/12/05,10:29:21,207.40E+00,10.943E+00,2.0342E+03,2.2696E+03,1.0064E+03,0.8963E+00,207.42E+00,10.600E+00,2.0023E+03,2.1986E+03,908.12E+00,0.9107E+00,207.30E+00,10.490E+00,1.9835E+03,2.1744E+03,890.94E+00,0.9122E+00,207.37E+00,10.677E+00,6.0200E+03,6.6426E+03,2.8055E+03,0.9063E+00
   24,2024/12/05,10:29:21,207.41E+00,10.904E+00,2.0269E+03,2.2615E+03,1.0031E+03,0.8963E+00,207.51E+00,10.581E+00,1.9993E+03,2.1957E+03,907.67E+00,0.9106E+00,207.38E+00,10.478E+00,1.9827E+03,2.1728E+03,888.81E+00,0.9125E+00,207.43E+00,10.654E+00,6.0089E+03,6.6300E+03,2.7996E+03,0.9063E+00
   25,2024/12/05,10:29:22,207.42E+00,10.910E+00,2.0303E+03,2.2629E+03,999.39E+00,0.8972E+00,207.47E+00,10.601E+00,2.0022E+03,2.1993E+03,909.91E+00,0.9104E+00,207.37E+00,10.484E+00,1.9841E+03,2.1741E+03,888.75E+00,0.9126E+00,207.42E+00,10.665E+00,6.0166E+03,6.6362E+03,2.7980E+03,0.9066E+00
   26,2024/12/05,10:29:22,207.41E+00,10.900E+00,2.0270E+03,2.2607E+03,1.0010E+03,0.8966E+00,207.46E+00,10.589E+00,1.9999E+03,2.1968E+03,909.08E+00,0.9104E+00,207.34E+00,10.485E+00,1.9833E+03,2.1740E+03,890.21E+00,0.9123E+00,207.40E+00,10.658E+00,6.0102E+03,6.6315E+03,2.8003E+03,0.9063E+00
   27,2024/12/05,10:29:22,207.38E+00,10.900E+00,2.0270E+03,2.2605E+03,1.0006E+03,0.8967E+00,207.46E+00,10.593E+00,2.0006E+03,2.1976E+03,909.26E+00,0.9104E+00,207.41E+00,10.495E+00,1.9861E+03,2.1767E+03,890.68E+00,0.9124E+00,207.42E+00,10.663E+00,6.0137E+03,6.6347E+03,2.8005E+03,0.9064E+00
   28,2024/12/05,10:29:22,207.32E+00,10.905E+00,2.0257E+03,2.2608E+03,1.0038E+03,0.8960E+00,207.46E+00,10.585E+00,1.9995E+03,2.1960E+03,907.90E+00,0.9105E+00,207.30E+00,10.482E+00,1.9823E+03,2.1730E+03,890.22E+00,0.9122E+00,207.36E+00,10.657E+00,6.0075E+03,6.6298E+03,2.8019E+03,0.9061E+00
   29,2024/12/05,10:29:22,207.42E+00,10.921E+00,2.0301E+03,2.2653E+03,1.0051E+03,0.8962E+00,207.47E+00,10.586E+00,2.0000E+03,2.1962E+03,907.29E+00,0.9107E+00,207.30E+00,10.475E+00,1.9807E+03,2.1715E+03,890.03E+00,0.9121E+00,207.40E+00,10.661E+00,6.0108E+03,6.6329E+03,2.8024E+03,0.9062E+00
   30,2024/12/05,10:29:22,207.41E+00,10.905E+00,2.0278E+03,2.2620E+03,1.0022E+03,0.8965E+00,207.50E+00,10.598E+00,2.0024E+03,2.1990E+03,908.80E+00,0.9106E+00,207.38E+00,10.487E+00,1.9848E+03,2.1748E+03,888.92E+00,0.9127E+00,207.43E+00,10.663E+00,6.0150E+03,6.6357E+03,2.7999E+03,0.9065E+00
   31,2024/12/05,10:29:22,207.39E+00,10.904E+00,2.0279E+03,2.2614E+03,1.0008E+03,0.8967E+00,207.45E+00,10.594E+00,2.0005E+03,2.1977E+03,909.83E+00,0.9103E+00,207.26E+00,10.478E+00,1.9803E+03,2.1716E+03,891.20E+00,0.9119E+00,207.37E+00,10.658E+00,6.0086E+03,6.6306E+03,2.8018E+03,0.9062E+00
   32,2024/12/05,10:29:22,207.46E+00,10.909E+00,2.0290E+03,2.2632E+03,1.0026E+03,0.8965E+00,207.46E+00,10.589E+00,1.9999E+03,2.1969E+03,909.17E+00,0.9103E+00,207.25E+00,10.484E+00,1.9816E+03,2.1728E+03,891.20E+00,0.9120E+00,207.39E+00,10.661E+00,6.0105E+03,6.6328E+03,2.8030E+03,0.9062E+00
   33,2024/12/05,10:29:22,207.41E+00,10.912E+00,2.0304E+03,2.2633E+03,1.0000E+03,0.8971E+00,207.47E+00,10.608E+00,2.0041E+03,2.2007E+03,909.15E+00,0.9107E+00,207.33E+00,10.488E+00,1.9833E+03,2.1744E+03,891.38E+00,0.9121E+00,207.40E+00,10.669E+00,6.0178E+03,6.6384E+03,2.8005E+03,0.9065E+00
   34,2024/12/05,10:29:22,207.39E+00,10.868E+00,2.0188E+03,2.2539E+03,1.0022E+03,0.8957E+00,207.46E+00,10.542E+00,1.9916E+03,2.1871E+03,903.84E+00,0.9106E+00,207.30E+00,10.436E+00,1.9731E+03,2.1634E+03,887.21E+00,0.9120E+00,207.38E+00,10.615E+00,5.9835E+03,6.6044E+03,2.7933E+03,0.9060E+00
   35,2024/12/05,10:29:23,207.38E+00,10.877E+00,2.0212E+03,2.2557E+03,1.0014E+03,0.8960E+00,207.46E+00,10.560E+00,1.9950E+03,2.1909E+03,905.61E+00,0.9106E+00,207.25E+00,10.443E+00,1.9741E+03,2.1643E+03,887.10E+00,0.9121E+00,207.36E+00,10.627E+00,5.9903E+03,6.6109E+03,2.7942E+03,0.9061E+00
   36,2024/12/05,10:29:23,207.46E+00,10.876E+00,2.0234E+03,2.2563E+03,998.22E+00,0.8968E+00,207.45E+00,10.569E+00,1.9960E+03,2.1925E+03,907.23E+00,0.9104E+00,207.31E+00,10.443E+00,1.9748E+03,2.1649E+03,887.25E+00,0.9122E+00,207.41E+00,10.629E+00,5.9942E+03,6.6137E+03,2.7927E+03,0.9063E+00
   37,2024/12/05,10:29:23,207.39E+00,10.868E+00,2.0202E+03,2.2538E+03,999.12E+00,0.8964E+00,207.46E+00,10.563E+00,1.9948E+03,2.1914E+03,907.24E+00,0.9103E+00,207.26E+00,10.445E+00,1.9741E+03,2.1648E+03,888.42E+00,0.9119E+00,207.37E+00,10.625E+00,5.9891E+03,6.6100E+03,2.7948E+03,0.9061E+00
   38,2024/12/05,10:29:23,207.46E+00,10.880E+00,2.0235E+03,2.2572E+03,1.0002E+03,0.8965E+00,207.42E+00,10.549E+00,1.9923E+03,2.1881E+03,904.79E+00,0.9105E+00,207.37E+00,10.457E+00,1.9780E+03,2.1686E+03,889.06E+00,0.9121E+00,207.42E+00,10.629E+00,5.9938E+03,6.6140E+03,2.7940E+03,0.9062E+00
   39,2024/12/05,10:29:23,207.39E+00,10.879E+00,2.0218E+03,2.2562E+03,1.0014E+03,0.8961E+00,207.49E+00,10.545E+00,1.9932E+03,2.1881E+03,902.78E+00,0.9109E+00,207.31E+00,10.447E+00,1.9754E+03,2.1657E+03,887.78E+00,0.9121E+00,207.40E+00,10.624E+00,5.9904E+03,6.6101E+03,2.7920E+03,0.9063E+00
   40,2024/12/05,10:29:23,207.32E+00,10.870E+00,2.0187E+03,2.2535E+03,1.0016E+03,0.8958E+00,207.45E+00,10.557E+00,1.9943E+03,2.1901E+03,905.17E+00,0.9106E+00,207.33E+00,10.447E+00,1.9760E+03,2.1660E+03,887.12E+00,0.9123E+00,207.37E+00,10.625E+00,5.9891E+03,6.6097E+03,2.7938E+03,0.9061E+00
   41,2024/12/05,10:29:23,207.37E+00,10.878E+00,2.0221E+03,2.2558E+03,999.80E+00,0.8964E+00,207.50E+00,10.561E+00,1.9957E+03,2.1914E+03,905.38E+00,0.9107E+00,207.33E+00,10.444E+00,1.9755E+03,2.1654E+03,886.85E+00,0.9123E+00,207.40E+00,10.628E+00,5.9932E+03,6.6126E+03,2.7920E+03,0.9063E+00
   42,2024/12/05,10:29:23,207.37E+00,10.858E+00,2.0192E+03,2.2518E+03,996.71E+00,0.8967E+00,207.42E+00,10.556E+00,1.9926E+03,2.1895E+03,907.34E+00,0.9101E+00,207.36E+00,10.454E+00,1.9778E+03,2.1678E+03,887.48E+00,0.9124E+00,207.39E+00,10.623E+00,5.9896E+03,6.6091E+03,2.7915E+03,0.9063E+00
   43,2024/12/05,10:29:23,207.30E+00,10.862E+00,2.0177E+03,2.2517E+03,999.60E+00,0.8961E+00,207.47E+00,10.564E+00,1.9961E+03,2.1916E+03,904.78E+00,0.9108E+00,207.38E+00,10.450E+00,1.9769E+03,2.1672E+03,888.00E+00,0.9122E+00,207.38E+00,10.625E+00,5.9908E+03,6.6106E+03,2.7924E+03,0.9062E+00
   44,2024/12/05,10:29:23,207.43E+00,10.916E+00,2.0306E+03,2.2642E+03,1.0017E+03,0.8968E+00,207.51E+00,10.589E+00,2.0019E+03,2.1973E+03,906.00E+00,0.9110E+00,207.42E+00,10.487E+00,1.9851E+03,2.1752E+03,889.38E+00,0.9126E+00,207.45E+00,10.664E+00,6.0176E+03,6.6368E+03,2.7971E+03,0.9067E+00
   45,2024/12/05,10:29:24,207.32E+00,10.901E+00,2.0252E+03,2.2600E+03,1.0030E+03,0.8961E+00,207.45E+00,10.588E+00,2.0002E+03,2.1964E+03,907.44E+00,0.9107E+00,207.30E+00,10.477E+00,1.9815E+03,2.1719E+03,889.21E+00,0.9123E+00,207.36E+00,10.655E+00,6.0069E+03,6.6282E+03,2.7997E+03,0.9063E+00
   46,2024/12/05,10:29:24,207.31E+00,10.903E+00,2.0264E+03,2.2604E+03,1.0014E+03,0.8965E+00,207.51E+00,10.598E+00,2.0031E+03,2.1992E+03,907.72E+00,0.9108E+00,207.38E+00,10.482E+00,1.9835E+03,2.1738E+03,889.31E+00,0.9125E+00,207.40E+00,10.661E+00,6.0131E+03,6.6333E+03,2.7984E+03,0.9065E+00
   47,2024/12/05,10:29:24,207.36E+00,10.905E+00,2.0278E+03,2.2613E+03,1.0008E+03,0.8967E+00,207.45E+00,10.593E+00,2.0006E+03,2.1976E+03,909.39E+00,0.9104E+00,207.43E+00,10.490E+00,1.9857E+03,2.1759E+03,889.60E+00,0.9126E+00,207.42E+00,10.663E+00,6.0141E+03,6.6348E+03,2.7998E+03,0.9065E+00
   48,2024/12/05,10:29:24,207.42E+00,10.900E+00,2.0287E+03,2.2609E+03,997.94E+00,0.8973E+00,207.46E+00,10.587E+00,2.0002E+03,2.1964E+03,907.45E+00,0.9107E+00,207.42E+00,10.495E+00,1.9865E+03,2.1768E+03,890.15E+00,0.9126E+00,207.43E+00,10.661E+00,6.0153E+03,6.6340E+03,2.7956E+03,0.9067E+00
   49,2024/12/05,10:29:24,207.36E+00,10.905E+00,2.0277E+03,2.2613E+03,1.0009E+03,0.8967E+00,207.49E+00,10.587E+00,2.0008E+03,2.1967E+03,906.84E+00,0.9108E+00,207.34E+00,10.483E+00,1.9831E+03,2.1736E+03,889.73E+00,0.9124E+00,207.39E+00,10.659E+00,6.0117E+03,6.6316E+03,2.7975E+03,0.9065E+00
   50,2024/12/05,10:29:24,207.38E+00,10.906E+00,2.0275E+03,2.2617E+03,1.0022E+03,0.8965E+00,207.46E+00,10.582E+00,1.9992E+03,2.1954E+03,907.25E+00,0.9106E+00,207.29E+00,10.473E+00,1.9808E+03,2.1710E+03,888.74E+00,0.9124E+00,207.38E+00,10.654E+00,6.0075E+03,6.6281E+03,2.7982E+03,0.9064E+00
   51,2024/12/05,10:29:24,207.35E+00,10.905E+00,2.0269E+03,2.2612E+03,1.0025E+03,0.8964E+00,207.46E+00,10.604E+00,2.0034E+03,2.1999E+03,908.74E+00,0.9107E+00,207.42E+00,10.482E+00,1.9847E+03,2.1742E+03,887.68E+00,0.9129E+00,207.41E+00,10.664E+00,6.0150E+03,6.6353E+03,2.7989E+03,0.9065E+00
   52,2024/12/05,10:29:24,207.36E+00,10.907E+00,2.0290E+03,2.2617E+03,999.12E+00,0.8971E+00,207.47E+00,10.589E+00,2.0000E+03,2.1969E+03,908.96E+00,0.9104E+00,207.33E+00,10.481E+00,1.9826E+03,2.1730E+03,889.56E+00,0.9124E+00,207.39E+00,10.659E+00,6.0117E+03,6.6316E+03,2.7976E+03,0.9065E+00
   53,2024/12/05,10:29:24,207.37E+00,10.888E+00,2.0245E+03,2.2579E+03,999.93E+00,0.8966E+00,207.45E+00,10.591E+00,2.0010E+03,2.1972E+03,907.52E+00,0.9107E+00,207.34E+00,10.487E+00,1.9841E+03,2.1744E+03,889.36E+00,0.9125E+00,207.39E+00,10.656E+00,6.0096E+03,6.6295E+03,2.7968E+03,0.9065E+00
