"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","15:05:17"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
   11,2024/12/05,15:03:15,206.64E+00,10.303E+00,2.0417E+03,2.1290E+03,-603.64E+00,0.9590E+00,206.80E+00,9.8779E+00,1.9336E+03,2.0427E+03,-658.84E+00,0.9466E+00,206.84E+00,10.223E+00,2.0085E+03,2.1146E+03,-661.38E+00,0.9498E+00,206.76E+00,10.135E+00,5.9837E+03,6.2863E+03,-1.9239E+03,0.9519E+00
   12,2024/12/05,15:03:15,206.69E+00,10.301E+00,2.0422E+03,2.1291E+03,-602.15E+00,0.9592E+00,207.01E+00,9.9015E+00,1.9400E+03,2.0497E+03,-661.48E+00,0.9465E+00,206.84E+00,10.217E+00,2.0068E+03,2.1134E+03,-662.64E+00,0.9496E+00,206.85E+00,10.140E+00,5.9890E+03,6.2922E+03,-1.9263E+03,0.9518E+00
   13,2024/12/05,15:03:15,206.68E+00,10.307E+00,2.0436E+03,2.1303E+03,-601.59E+00,0.9593E+00,206.79E+00,9.8922E+00,1.9354E+03,2.0456E+03,-662.25E+00,0.9461E+00,206.89E+00,10.203E+00,2.0038E+03,2.1109E+03,-663.90E+00,0.9493E+00,206.79E+00,10.134E+00,5.9828E+03,6.2868E+03,-1.9277E+03,0.9516E+00
   14,2024/12/05,15:03:15,206.69E+00,10.265E+00,2.0351E+03,2.1217E+03,-599.66E+00,0.9592E+00,207.00E+00,9.8655E+00,1.9335E+03,2.0421E+03,-656.99E+00,0.9468E+00,206.89E+00,10.175E+00,1.9982E+03,2.1050E+03,-661.99E+00,0.9493E+00,206.86E+00,10.102E+00,5.9669E+03,6.2688E+03,-1.9186E+03,0.9518E+00
   15,2024/12/05,15:03:16,206.73E+00,10.277E+00,2.0370E+03,2.1245E+03,-603.26E+00,0.9588E+00,206.94E+00,9.8660E+00,1.9334E+03,2.0417E+03,-656.17E+00,0.9469E+00,206.88E+00,10.181E+00,2.0003E+03,2.1063E+03,-659.84E+00,0.9497E+00,206.85E+00,10.108E+00,5.9707E+03,6.2725E+03,-1.9193E+03,0.9519E+00
   16,2024/12/05,15:03:16,206.72E+00,10.269E+00,2.0348E+03,2.1229E+03,-605.23E+00,0.9585E+00,206.78E+00,9.8480E+00,1.9263E+03,2.0363E+03,-660.36E+00,0.9460E+00,206.94E+00,10.200E+00,2.0047E+03,2.1108E+03,-660.71E+00,0.9497E+00,206.81E+00,10.106E+00,5.9658E+03,6.2700E+03,-1.9263E+03,0.9515E+00
   17,2024/12/05,15:03:16,206.68E+00,10.275E+00,2.0367E+03,2.1237E+03,-601.42E+00,0.9591E+00,206.65E+00,9.8513E+00,1.9257E+03,2.0358E+03,-660.45E+00,0.9459E+00,206.94E+00,10.190E+00,2.0026E+03,2.1087E+03,-660.45E+00,0.9497E+00,206.76E+00,10.106E+00,5.9651E+03,6.2682E+03,-1.9223E+03,0.9516E+00
   18,2024/12/05,15:03:16,206.73E+00,10.272E+00,2.0374E+03,2.1236E+03,-598.74E+00,0.9594E+00,206.67E+00,9.8489E+00,1.9259E+03,2.0355E+03,-659.03E+00,0.9461E+00,206.87E+00,10.175E+00,1.9981E+03,2.1050E+03,-662.31E+00,0.9492E+00,206.76E+00,10.099E+00,5.9614E+03,6.2641E+03,-1.9201E+03,0.9517E+00
   19,2024/12/05,15:03:16,206.73E+00,10.279E+00,2.0380E+03,2.1250E+03,-601.65E+00,0.9591E+00,206.73E+00,9.8615E+00,1.9295E+03,2.0387E+03,-658.24E+00,0.9464E+00,206.89E+00,10.183E+00,1.9996E+03,2.1067E+03,-663.20E+00,0.9492E+00,206.78E+00,10.108E+00,5.9670E+03,6.2703E+03,-1.9231E+03,0.9516E+00
   20,2024/12/05,15:03:16,206.58E+00,10.265E+00,2.0337E+03,2.1206E+03,-600.83E+00,0.9590E+00,206.61E+00,9.8468E+00,1.9261E+03,2.0345E+03,-655.17E+00,0.9467E+00,206.88E+00,10.179E+00,1.9997E+03,2.1058E+03,-660.06E+00,0.9496E+00,206.69E+00,10.097E+00,5.9595E+03,6.2609E+03,-1.9161E+03,0.9519E+00
   21,2024/12/05,15:03:16,206.58E+00,10.259E+00,2.0320E+03,2.1194E+03,-602.19E+00,0.9588E+00,206.65E+00,9.8412E+00,1.9241E+03,2.0337E+03,-658.70E+00,0.9461E+00,206.88E+00,10.189E+00,2.0019E+03,2.1078E+03,-659.93E+00,0.9497E+00,206.70E+00,10.096E+00,5.9579E+03,6.2609E+03,-1.9208E+03,0.9516E+00
   22,2024/12/05,15:03:16,206.74E+00,10.271E+00,2.0366E+03,2.1235E+03,-601.04E+00,0.9591E+00,206.88E+00,9.8647E+00,1.9306E+03,2.0408E+03,-661.55E+00,0.9460E+00,206.82E+00,10.187E+00,2.0007E+03,2.1069E+03,-660.32E+00,0.9496E+00,206.81E+00,10.108E+00,5.9680E+03,6.2712E+03,-1.9229E+03,0.9517E+00
   23,2024/12/05,15:03:16,206.59E+00,10.267E+00,2.0352E+03,2.1210E+03,-597.21E+00,0.9595E+00,206.68E+00,9.8522E+00,1.9262E+03,2.0362E+03,-660.11E+00,0.9460E+00,206.88E+00,10.174E+00,1.9985E+03,2.1049E+03,-660.46E+00,0.9495E+00,206.72E+00,10.098E+00,5.9600E+03,6.2621E+03,-1.9178E+03,0.9518E+00
   24,2024/12/05,15:03:16,206.53E+00,10.293E+00,2.0402E+03,2.1258E+03,-597.36E+00,0.9597E+00,206.80E+00,9.9049E+00,1.9387E+03,2.0483E+03,-661.17E+00,0.9465E+00,206.83E+00,10.206E+00,2.0044E+03,2.1110E+03,-662.51E+00,0.9495E+00,206.72E+00,10.135E+00,5.9833E+03,6.2852E+03,-1.9210E+03,0.9520E+00
   25,2024/12/05,15:03:17,206.43E+00,10.281E+00,2.0354E+03,2.1224E+03,-601.37E+00,0.9590E+00,206.65E+00,9.8828E+00,1.9335E+03,2.0423E+03,-657.76E+00,0.9467E+00,206.88E+00,10.216E+00,2.0073E+03,2.1135E+03,-661.70E+00,0.9497E+00,206.66E+00,10.127E+00,5.9761E+03,6.2782E+03,-1.9208E+03,0.9519E+00
   26,2024/12/05,15:03:17,206.68E+00,10.303E+00,2.0416E+03,2.1295E+03,-605.48E+00,0.9587E+00,206.65E+00,9.8695E+00,1.9301E+03,2.0395E+03,-659.17E+00,0.9463E+00,206.87E+00,10.212E+00,2.0070E+03,2.1125E+03,-659.27E+00,0.9501E+00,206.73E+00,10.128E+00,5.9786E+03,6.2815E+03,-1.9239E+03,0.9518E+00
   27,2024/12/05,15:03:17,206.59E+00,10.296E+00,2.0400E+03,2.1271E+03,-602.44E+00,0.9591E+00,206.84E+00,9.8962E+00,1.9367E+03,2.0470E+03,-662.82E+00,0.9461E+00,206.84E+00,10.213E+00,2.0066E+03,2.1123E+03,-659.99E+00,0.9499E+00,206.76E+00,10.135E+00,5.9833E+03,6.2864E+03,-1.9252E+03,0.9518E+00
   28,2024/12/05,15:03:17,206.74E+00,10.302E+00,2.0432E+03,2.1298E+03,-601.04E+00,0.9594E+00,206.93E+00,9.9030E+00,1.9388E+03,2.0492E+03,-663.50E+00,0.9461E+00,206.85E+00,10.213E+00,2.0060E+03,2.1125E+03,-662.20E+00,0.9496E+00,206.84E+00,10.139E+00,5.9881E+03,6.2915E+03,-1.9267E+03,0.9518E+00
   29,2024/12/05,15:03:17,206.79E+00,10.313E+00,2.0467E+03,2.1326E+03,-599.16E+00,0.9597E+00,206.92E+00,9.8919E+00,1.9375E+03,2.0468E+03,-659.91E+00,0.9466E+00,206.84E+00,10.203E+00,2.0036E+03,2.1103E+03,-662.59E+00,0.9494E+00,206.85E+00,10.136E+00,5.9878E+03,6.2897E+03,-1.9217E+03,0.9520E+00
   30,2024/12/05,15:03:17,206.84E+00,10.309E+00,2.0460E+03,2.1323E+03,-600.51E+00,0.9595E+00,206.86E+00,9.8926E+00,1.9379E+03,2.0464E+03,-657.22E+00,0.9470E+00,206.93E+00,10.214E+00,2.0074E+03,2.1135E+03,-661.51E+00,0.9498E+00,206.87E+00,10.139E+00,5.9913E+03,6.2922E+03,-1.9192E+03,0.9522E+00
   31,2024/12/05,15:03:17,206.76E+00,10.305E+00,2.0436E+03,2.1306E+03,-602.81E+00,0.9591E+00,206.85E+00,9.8883E+00,1.9364E+03,2.0454E+03,-658.68E+00,0.9467E+00,206.88E+00,10.212E+00,2.0067E+03,2.1127E+03,-660.72E+00,0.9498E+00,206.83E+00,10.135E+00,5.9868E+03,6.2888E+03,-1.9222E+03,0.9520E+00
   32,2024/12/05,15:03:17,206.79E+00,10.302E+00,2.0436E+03,2.1303E+03,-601.68E+00,0.9593E+00,206.74E+00,9.8777E+00,1.9326E+03,2.0421E+03,-659.88E+00,0.9464E+00,206.91E+00,10.221E+00,2.0089E+03,2.1149E+03,-660.95E+00,0.9499E+00,206.81E+00,10.134E+00,5.9851E+03,6.2873E+03,-1.9225E+03,0.9519E+00
   33,2024/12/05,15:03:17,206.79E+00,10.298E+00,2.0435E+03,2.1295E+03,-599.09E+00,0.9596E+00,206.94E+00,9.8955E+00,1.9378E+03,2.0477E+03,-661.86E+00,0.9463E+00,206.89E+00,10.218E+00,2.0074E+03,2.1140E+03,-662.80E+00,0.9496E+00,206.87E+00,10.137E+00,5.9888E+03,6.2913E+03,-1.9238E+03,0.9519E+00
   34,2024/12/05,15:03:17,206.78E+00,10.326E+00,2.0495E+03,2.1352E+03,-598.90E+00,0.9599E+00,206.92E+00,9.9069E+00,1.9408E+03,2.0499E+03,-660.01E+00,0.9468E+00,206.88E+00,10.221E+00,2.0076E+03,2.1146E+03,-663.88E+00,0.9494E+00,206.86E+00,10.151E+00,5.9979E+03,6.2997E+03,-1.9228E+03,0.9521E+00
   35,2024/12/05,15:03:18,206.79E+00,10.321E+00,2.0481E+03,2.1343E+03,-600.58E+00,0.9596E+00,206.86E+00,9.9123E+00,1.9418E+03,2.0505E+03,-658.74E+00,0.9470E+00,206.89E+00,10.226E+00,2.0089E+03,2.1156E+03,-663.33E+00,0.9496E+00,206.85E+00,10.153E+00,5.9987E+03,6.3003E+03,-1.9227E+03,0.9521E+00
   36,2024/12/05,15:03:18,206.72E+00,10.322E+00,2.0472E+03,2.1338E+03,-601.71E+00,0.9594E+00,206.66E+00,9.8940E+00,1.9360E+03,2.0447E+03,-657.88E+00,0.9468E+00,206.95E+00,10.229E+00,2.0109E+03,2.1170E+03,-661.71E+00,0.9499E+00,206.78E+00,10.149E+00,5.9941E+03,6.2955E+03,-1.9213E+03,0.9521E+00
   37,2024/12/05,15:03:18,206.78E+00,10.331E+00,2.0497E+03,2.1363E+03,-602.32E+00,0.9594E+00,207.03E+00,9.9031E+00,1.9411E+03,2.0502E+03,-660.05E+00,0.9468E+00,206.94E+00,10.243E+00,2.0131E+03,2.1197E+03,-663.52E+00,0.9497E+00,206.92E+00,10.159E+00,6.0039E+03,6.3062E+03,-1.9259E+03,0.9521E+00
   38,2024/12/05,15:03:18,206.73E+00,10.323E+00,2.0480E+03,2.1341E+03,-600.14E+00,0.9596E+00,206.93E+00,9.9121E+00,1.9411E+03,2.0511E+03,-662.91E+00,0.9463E+00,206.88E+00,10.235E+00,2.0108E+03,2.1174E+03,-663.35E+00,0.9497E+00,206.85E+00,10.157E+00,5.9999E+03,6.3027E+03,-1.9264E+03,0.9520E+00
   39,2024/12/05,15:03:18,206.74E+00,10.323E+00,2.0482E+03,2.1342E+03,-600.01E+00,0.9597E+00,206.93E+00,9.9129E+00,1.9413E+03,2.0513E+03,-662.53E+00,0.9464E+00,206.88E+00,10.221E+00,2.0076E+03,2.1146E+03,-664.26E+00,0.9494E+00,206.85E+00,10.152E+00,5.9970E+03,6.3001E+03,-1.9268E+03,0.9519E+00
   40,2024/12/05,15:03:18,206.80E+00,10.321E+00,2.0482E+03,2.1343E+03,-600.17E+00,0.9596E+00,206.86E+00,9.9182E+00,1.9420E+03,2.0517E+03,-661.81E+00,0.9465E+00,206.88E+00,10.226E+00,2.0083E+03,2.1155E+03,-664.67E+00,0.9494E+00,206.85E+00,10.155E+00,5.9985E+03,6.3014E+03,-1.9267E+03,0.9519E+00
   41,2024/12/05,15:03:18,206.74E+00,10.317E+00,2.0460E+03,2.1330E+03,-602.96E+00,0.9592E+00,206.85E+00,9.9154E+00,1.9424E+03,2.0510E+03,-658.69E+00,0.9470E+00,206.88E+00,10.232E+00,2.0103E+03,2.1168E+03,-662.95E+00,0.9497E+00,206.82E+00,10.155E+00,5.9986E+03,6.3008E+03,-1.9246E+03,0.9520E+00
   42,2024/12/05,15:03:18,206.69E+00,10.314E+00,2.0447E+03,2.1317E+03,-602.66E+00,0.9592E+00,206.81E+00,9.9013E+00,1.9385E+03,2.0477E+03,-659.66E+00,0.9467E+00,206.60E+00,10.222E+00,2.0049E+03,2.1118E+03,-663.29E+00,0.9494E+00,206.70E+00,10.146E+00,5.9881E+03,6.2911E+03,-1.9256E+03,0.9518E+00
   43,2024/12/05,15:03:18,206.73E+00,10.319E+00,2.0470E+03,2.1333E+03,-600.40E+00,0.9596E+00,207.02E+00,9.9229E+00,1.9444E+03,2.0542E+03,-662.67E+00,0.9465E+00,206.83E+00,10.236E+00,2.0104E+03,2.1171E+03,-663.80E+00,0.9496E+00,206.86E+00,10.159E+00,6.0018E+03,6.3046E+03,-1.9269E+03,0.9520E+00
   44,2024/12/05,15:03:18,206.65E+00,10.311E+00,2.0440E+03,2.1306E+03,-601.34E+00,0.9593E+00,206.88E+00,9.9141E+00,1.9413E+03,2.0511E+03,-662.16E+00,0.9465E+00,206.83E+00,10.220E+00,2.0066E+03,2.1137E+03,-664.30E+00,0.9493E+00,206.79E+00,10.148E+00,5.9919E+03,6.2955E+03,-1.9278E+03,0.9518E+00
   45,2024/12/05,15:03:19,206.85E+00,10.326E+00,2.0505E+03,2.1360E+03,-598.28E+00,0.9600E+00,206.84E+00,9.9154E+00,1.9413E+03,2.0509E+03,-661.35E+00,0.9466E+00,206.82E+00,10.221E+00,2.0066E+03,2.1139E+03,-665.20E+00,0.9492E+00,206.83E+00,10.154E+00,5.9983E+03,6.3008E+03,-1.9248E+03,0.9520E+00
   46,2024/12/05,15:03:19,206.75E+00,10.319E+00,2.0471E+03,2.1334E+03,-600.67E+00,0.9595E+00,206.80E+00,9.9130E+00,1.9414E+03,2.0500E+03,-658.23E+00,0.9470E+00,206.91E+00,10.235E+00,2.0112E+03,2.1178E+03,-663.39E+00,0.9497E+00,206.82E+00,10.156E+00,5.9997E+03,6.3012E+03,-1.9223E+03,0.9522E+00
   47,2024/12/05,15:03:19,206.78E+00,10.306E+00,2.0447E+03,2.1310E+03,-600.42E+00,0.9595E+00,206.94E+00,9.9085E+00,1.9423E+03,2.0505E+03,-657.24E+00,0.9472E+00,206.88E+00,10.236E+00,2.0112E+03,2.1176E+03,-662.78E+00,0.9498E+00,206.87E+00,10.150E+00,5.9981E+03,6.2991E+03,-1.9204E+03,0.9522E+00
   48,2024/12/05,15:03:19,206.78E+00,10.318E+00,2.0476E+03,2.1336E+03,-599.48E+00,0.9597E+00,207.01E+00,9.9158E+00,1.9432E+03,2.0527E+03,-661.41E+00,0.9467E+00,206.85E+00,10.241E+00,2.0117E+03,2.1183E+03,-663.54E+00,0.9497E+00,206.88E+00,10.158E+00,6.0025E+03,6.3046E+03,-1.9244E+03,0.9521E+00
   49,2024/12/05,15:03:19,206.75E+00,10.328E+00,2.0499E+03,2.1353E+03,-597.75E+00,0.9600E+00,206.88E+00,9.9192E+00,1.9426E+03,2.0521E+03,-661.32E+00,0.9467E+00,206.95E+00,10.233E+00,2.0113E+03,2.1178E+03,-663.12E+00,0.9497E+00,206.86E+00,10.160E+00,6.0038E+03,6.3052E+03,-1.9222E+03,0.9522E+00
   50,2024/12/05,15:03:19,206.75E+00,10.317E+00,2.0480E+03,2.1331E+03,-596.60E+00,0.9601E+00,206.94E+00,9.9204E+00,1.9438E+03,2.0530E+03,-660.44E+00,0.9468E+00,206.87E+00,10.219E+00,2.0070E+03,2.1140E+03,-664.06E+00,0.9494E+00,206.85E+00,10.152E+00,5.9988E+03,6.3001E+03,-1.9211E+03,0.9522E+00
   51,2024/12/05,15:03:19,206.78E+00,10.316E+00,2.0479E+03,2.1332E+03,-597.30E+00,0.9600E+00,206.85E+00,9.9169E+00,1.9429E+03,2.0514E+03,-658.33E+00,0.9471E+00,206.88E+00,10.227E+00,2.0091E+03,2.1158E+03,-663.24E+00,0.9496E+00,206.84E+00,10.153E+00,5.9999E+03,6.3003E+03,-1.9189E+03,0.9523E+00
   52,2024/12/05,15:03:19,206.68E+00,10.313E+00,2.0459E+03,2.1316E+03,-598.43E+00,0.9598E+00,206.85E+00,9.9066E+00,1.9412E+03,2.0492E+03,-656.28E+00,0.9473E+00,206.82E+00,10.220E+00,2.0078E+03,2.1137E+03,-660.60E+00,0.9499E+00,206.78E+00,10.147E+00,5.9949E+03,6.2944E+03,-1.9153E+03,0.9524E+00
